City,Largest Sector,Largest Sector2,Largest Sector3,latitude,longitude,,
Chicago,Manufactoring,Chemical Manufactoring,printing,41.881832,-87.623117,,
Detroit,Technology,Bioscience,auto manufacturing,42.331429,-83.045753,,
Madison,Agribusiness,Health care,Insurance,43.0730517,-89.4012302,,
Milwuake,Auto manufacturing,Insurance,Contract Employment,43.038902,-87.906471,,
St. Louis,Bioscience,Health care,Education,38.627003,-90.199402,,
Indianapolis,"Trade, transportation and utilities",professional and business services,government,39.768826,-86.168968,,
Cincinnati,advanced energy,advanced manufactoring,BioHealth,39.103119,-84.512016,, 
Cleveland,Auto manufacturing,Banking and Finance,Electric and Lighting,41.505493,-81.68129,,
Columbus,Auto manufacturing,Insurance,Data Centers,40.367474,-82.996216,,
Des Moines,Advanced Manufactoring,Agbioscience,Data Centers,41.619549,-93.598022,,
Minneapolis,Biosiences,Manufactoring,Data Centers,44.986656,-93.258133,,
peioria,,,,,,,
